Created on 11-22-2020,
Unix Timestamp,Volume USD
1529798400,329875.04
1529712000,136136.18
1529625600,670553.73
1529539200,697590.36
1529452800,507587.99
1529366400,438420.57
1529280000,335400.64
1529193600,232904.9
1529107200,185293.34
1529020800,296871.36
1528934400,314874.71
1528848000,456559.18
1528761600,102752.13
1528675200,0
1528588800,0
1528502400,0
1528416000,0
1528329600,0
1528243200,0
1528156800,0
1528070400,0
1527984000,0
1527897600,0
1527811200,0
1527724800,0
1527638400,0
1527552000,0
1527465600,0
1527379200,0
1527292800,0
1527206400,0
1527120000,0
1527033600,0
1526947200,0
1526860800,0
1526774400,0
1526688000,0
1526601600,0
1526515200,0
1526428800,0
1526342400,0
1526256000,0
1526169600,0
1526083200,0
1525996800,0
1525910400,0
1525824000,0
1525737600,0
1525651200,0
1525564800,0
1525478400,0
1525392000,0
1525305600,0
1525219200,0
1525132800,0
1525046400,0
1524960000,0
1524873600,0
1524787200,0
1524700800,0
1524614400,0
1524528000,0
1524441600,0
1524355200,0
1524268800,0
1524182400,0
1524096000,0
1524009600,0
1523923200,0
1523836800,0
1523750400,0
1523664000,0
1523577600,0
1523491200,0
1523404800,0
1523318400,0
1523232000,0
1523145600,0
1523059200,0
1522972800,0
1522886400,0
1522800000,0
1522713600,0
1522627200,0
1522540800,0
1522454400,0
1522368000,0
1522281600,0
1522195200,0
1522108800,0
1522022400,0
1521936000,0
1521849600,0
1521763200,0
1521676800,0
1521590400,0
1521504000,0
1521417600,0
1521331200,0
1521244800,0
1521158400,0
1521072000,0
1520985600,0
1520899200,0
1520812800,0
1520726400,0
1520640000,0
1520553600,0
1520467200,0
1520380800,0
1520294400,63272.26
1520208000,0
1520121600,0
1520035200,0
1519948800,0
1519862400,0
1519776000,0
1519689600,0
1519603200,0
1519516800,0
1519430400,0
1519344000,0
1519257600,0
1519171200,0
1519084800,0
1518998400,0
1518912000,0
1518825600,0
1518739200,0
1518652800,0
1518566400,0
1518480000,0
1518393600,0
1518307200,0
1518220800,0
1518134400,0
1518048000,0
1517961600,0
1517875200,0
1517788800,0
1517702400,0
1517616000,0
1517529600,0
1517443200,0
1517356800,0
1517270400,0
1517184000,0
1517097600,0
1517011200,0
1516924800,0
1516838400,0
1516752000,0
1516665600,0
1516579200,0
1516492800,0
1516406400,0
1516320000,0
1516233600,0
1516147200,0
1516060800,0
1515974400,0
1515888000,0
1515801600,0
1515715200,0
1515628800,0
1515542400,0
1515456000,0
1515369600,0
1515283200,0
1515196800,0
1515110400,0
1515024000,0
1514937600,0
1514851200,0
1514764800,0
1514678400,0
1514592000,0
1514505600,0
1514419200,0
1514332800,0
1514246400,0
1514160000,0
1514073600,0
1513987200,0
1513900800,0
1513814400,0
1513728000,0
1513641600,0
1513555200,0
1513468800,0
1513382400,0
1513296000,0
1513209600,0
1513123200,0
1513036800,0
1512950400,0
1512864000,0
1512777600,0
1512691200,0
1512604800,0
1512518400,0
1512432000,0
1512345600,0
1512259200,0
1512172800,0
1512086400,0
1512000000,0
1511913600,0
1511827200,0
1511740800,0
1511654400,0
1511568000,0
1511481600,0
1511395200,0
1511308800,0
1511222400,0
1511136000,0
1511049600,0
1510963200,0
1510876800,0
1510790400,1425410.8
1510704000,27707626.29
1510617600,1839900.42
1510531200,3420971.85
1510444800,13001903.8
1510358400,4932274.65
1510272000,4014899.24
1510185600,3158117.31
1510099200,4984016.75
1510012800,2621372.99
1509926400,3403435.23
1509840000,2079685.63
1509753600,1536386.63
1509667200,3195889.32
1509580800,5637457.74
1509494400,3392546.36
1509408000,2419381.21
1509321600,2193567.54
